ENPs	dT	L	Shape	Surface functionalization	Zeta Potential (mV)	Surface Area	Animal(Rat/Mouse)	Gender	M.A	M.W	Method	E.D	E.T	R.D	Dose
CB	9	9	sphere	-	-3.70 	254	Mouse	female	7	19.7	intratracheal instillation	0	1	90	8.22
TiO2	24	24	sphere	-	-34.40 	53	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	24	24	sphere	-	-34.40 	53	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	24	24	sphere	-	-34.40 	53	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	24	24	sphere	-	-34.40 	53	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	28	28	sphere	-	-30.70 	173	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	28	28	sphere	-	-30.70 	173	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	28	28	sphere	-	-30.70 	173	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	28	28	sphere	-	-30.70 	173	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	200	7000	belt	-	-30.30 	18	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	200	7000	belt	-	-30.30 	18	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	200	7000	belt	-	-30.30 	18	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	200	7000	belt	-	-30.30 	18	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	-	-12.10 	180	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	-	-12.10 	180	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	-	-12.10 	180	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	-	-12.10 	180	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	-	-11.80 	513	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	-	-11.80 	513	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	-	-11.80 	513	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	-	-11.80 	513	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	7	22.5	OPA	0	1	1	1.6
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	7	22.5	OPA	0	1	1	1.6
TiO2	24	24	sphere	-	-34.40 	53	Rat	male	9	385	intratracheal instillation	0	1	1	0.05
TiO2	24	24	sphere	-	-34.40 	53	Rat	male	9	385	intratracheal instillation	0	1	1	0.175
TiO2	24	24	sphere	-	-34.40 	53	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
TiO2	24	24	sphere	-	-34.40 	53	Rat	male	9	385	intratracheal instillation	0	1	1	0.05
TiO2	24	24	sphere	-	-34.40 	53	Rat	male	9	385	intratracheal instillation	0	1	1	0.175
TiO2	24	24	sphere	-	-34.40 	53	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
TiO2	28	28	sphere	-	-30.70 	173	Rat	male	9	385	intratracheal instillation	0	1	1	0.05
TiO2	28	28	sphere	-	-30.70 	173	Rat	male	9	385	intratracheal instillation	0	1	1	0.175
TiO2	28	28	sphere	-	-30.70 	173	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
TiO2	28	28	sphere	-	-30.70 	173	Rat	male	9	385	intratracheal instillation	0	1	1	0.05
TiO2	28	28	sphere	-	-30.70 	173	Rat	male	9	385	intratracheal instillation	0	1	1	0.175
TiO2	28	28	sphere	-	-30.70 	173	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
TiO2	200	7000	belt	-	-30.30 	18	Rat	male	9	385	intratracheal instillation	0	1	1	0.05
TiO2	200	7000	belt	-	-30.30 	18	Rat	male	9	385	intratracheal instillation	0	1	1	0.175
TiO2	200	7000	belt	-	-30.30 	18	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
TiO2	200	7000	belt	-	-30.30 	18	Rat	male	9	385	intratracheal instillation	0	1	1	0.05
TiO2	200	7000	belt	-	-30.30 	18	Rat	male	9	385	intratracheal instillation	0	1	1	0.175
TiO2	200	7000	belt	-	-30.30 	18	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
TiO2	200	7000	belt	-	-30.30 	18	Rat	male	9	385	intratracheal instillation	0	1	1	0.05
TiO2	200	7000	belt	-	-30.30 	18	Rat	male	9	385	intratracheal instillation	0	1	1	0.175
TiO2	200	7000	belt	-	-30.30 	18	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
MWCNT	25	7500	tube	-	-12.10 	180	Rat	male	9	385	intratracheal instillation	0	1	1	0.025
MWCNT	25	7500	tube	-	-12.10 	180	Rat	male	9	385	intratracheal instillation	0	1	1	0.125
MWCNT	25	7500	tube	-	-12.10 	180	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
MWCNT	25	7500	tube	-	-12.10 	180	Rat	male	9	385	intratracheal instillation	0	1	1	0.025
MWCNT	25	7500	tube	-	-12.10 	180	Rat	male	9	385	intratracheal instillation	0	1	1	0.125
MWCNT	25	7500	tube	-	-12.10 	180	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
MWCNT	25	7500	tube	-	-12.10 	180	Rat	male	9	385	intratracheal instillation	0	1	1	0.025
MWCNT	25	7500	tube	-	-12.10 	180	Rat	male	9	385	intratracheal instillation	0	1	1	0.125
MWCNT	25	7500	tube	-	-12.10 	180	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
MWCNT	25	7500	tube	-	-11.80 	513	Rat	male	9	385	intratracheal instillation	0	1	1	0.025
MWCNT	25	7500	tube	-	-11.80 	513	Rat	male	9	385	intratracheal instillation	0	1	1	0.125
MWCNT	25	7500	tube	-	-11.80 	513	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
MWCNT	25	7500	tube	-	-11.80 	513	Rat	male	9	385	intratracheal instillation	0	1	1	0.025
MWCNT	25	7500	tube	-	-11.80 	513	Rat	male	9	385	intratracheal instillation	0	1	1	0.125
MWCNT	25	7500	tube	-	-11.80 	513	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
MWCNT	25	7500	tube	-	-11.80 	513	Rat	male	9	385	intratracheal instillation	0	1	1	0.025
MWCNT	25	7500	tube	-	-11.80 	513	Rat	male	9	385	intratracheal instillation	0	1	1	0.125
MWCNT	25	7500	tube	-	-11.80 	513	Rat	male	9	385	intratracheal instillation	0	1	1	0.5
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	9	22.5	intratracheal instillation	0	1	1	0.025
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	9	22.5	intratracheal instillation	0	1	1	0.125
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	9	22.5	intratracheal instillation	0	1	1	0.5
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	9	22.5	intratracheal instillation	0	1	1	0.025
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	9	22.5	intratracheal instillation	0	1	1	0.125
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	9	22.5	intratracheal instillation	0	1	1	0.5
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	9	22.5	intratracheal instillation	0	1	1	0.025
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	9	22.5	intratracheal instillation	0	1	1	0.125
MWCNT	25	7500	tube	COOH	-48.40 	26	Mouse	male	9	22.5	intratracheal instillation	0	1	1	0.5
CB	21.1	21.1	sphere	-	-3.70 	254	Mouse	male	9	27	intratracheal instillation	0	1	1	0.05
CB	21.1	21.1	sphere	-	-3.70 	254	Mouse	male	9	27	intratracheal instillation	0	1	1	0.5
Ag	14	14	sphere	-	-32.50 	5	Mouse	male	9	27	intratracheal instillation	0	1	1	0.05
Ag	14	14	sphere	-	-32.50 	5	Mouse	male	9	27	intratracheal instillation	0	1	1	0.5
CB	21.1	21.1	sphere	-	-3.70 	254	Mouse	male	9	27	intratracheal instillation	0	1	3	0.5
Ag	14	14	sphere	-	-32.50 	5	Mouse	male	9	27	intratracheal instillation	0	1	3	0.5
CB	21.1	21.1	sphere	-	-3.70 	254	Mouse	male	9	27	intratracheal instillation	0	1	7	0.5
Ag	14	14	sphere	-	-32.50 	5	Mouse	male	9	27	intratracheal instillation	0	1	7	0.5
NiO	50	50	sphere	-	-1.90 	91.8	Rat	male	8	240	intratracheal instillation	0	1	3	3.3
NiO	50	50	sphere	-	-1.90 	91.8	Rat	male	8	240	intratracheal instillation	0	1	7	3.3
NiO	50	50	sphere	-	-1.90 	91.8	Rat	male	8	240	intratracheal instillation	0	1	28	3.3
CNF	17.5	650	fiber	-	69.50 	40	Mouse	female	8	20	PA	0	1	1	0.5
CNF	17.5	650	fiber	-	69.50 	40	Mouse	female	8	20	PA	0	1	1	2
CNF	17.5	650	fiber	-	69.50 	40	Mouse	female	8	20	PA	0	1	1	4
CNF	17.5	650	fiber	-	69.50 	40	Mouse	female	8	20	PA	0	1	1	10
ZnO	71	350	pillar	-	-19.30 	14.7	Mouse	male	8	30	intratracheal instillation	0	1	2	2.67
ZnO	71	350	pillar	-	-19.30 	14.7	Mouse	male	8	30	intratracheal instillation	0	1	7	2.67
ZnO	71	350	pillar	-	-19.30 	14.7	Mouse	male	8	30	intratracheal instillation	0	1	14	2.67
ZnO	71	350	pillar	-	-19.30 	14.7	Mouse	male	8	30	intratracheal instillation	0	1	28	2.67
CNP	9.5	9.5	sphere	-	-11.00 	800	Mouse	female	9	20	intratracheal instillation	0	1	0.125	1
CNP	9.5	9.5	sphere	-	-11.00 	800	Mouse	female	9	20	intratracheal instillation	0	1	0.25	1
CNP	9.5	9.5	sphere	-	-11.00 	800	Mouse	female	9	20	intratracheal instillation	0	1	0.5	1
CNP	9.5	9.5	sphere	-	-11.00 	800	Mouse	female	9	20	intratracheal instillation	0	1	0.75	1
CNP	9.5	9.5	sphere	-	-11.00 	800	Mouse	female	9	20	intratracheal instillation	0	1	1	1
CNP	9.5	9.5	sphere	-	-11.00 	800	Mouse	female	9	20	intratracheal instillation	0	1	3	1
CNP	9.5	9.5	sphere	-	-11.00 	800	Mouse	female	9	20	intratracheal instillation	0	1	7	1
NiO	5.3	5.3	sphere	-	-21.00 	91.8	Rat	female	6	225	intratracheal instillation	0	1	1	0.727
Co3O4	18.4	18.4	sphere	-	-21.60 	35.8	Rat	female	6	225	intratracheal instillation	0	1	1	1.862
Cr2O3	205	205	sphere	-	-28.30 	74.42	Rat	female	6	225	intratracheal instillation	0	1	1	0.896
CuO	23.1	23.1	sphere	-	-25.30 	29	Rat	female	6	225	intratracheal instillation	0	1	1	2.289
NiO	5.3	5.3	sphere	-	-21.00 	91.8	Rat	female	6	225	intratracheal instillation	0	1	28	0.727
Co3O4	18.4	18.4	sphere	-	-21.60 	35.8	Rat	female	6	225	intratracheal instillation	0	1	28	1.862
Cr2O3	205	205	sphere	-	-28.30 	74.42	Rat	female	6	225	intratracheal instillation	0	1	28	0.896
CuO	23.1	23.1	sphere	-	-25.30 	29	Rat	female	6	225	intratracheal instillation	0	1	28	2.289
ZnO	10.7	10.7	sphere	-	-27.10 	48.2	Rat	female	6	225	intratracheal instillation	0	1	1	0.458
ZnO	10.7	10.7	sphere	-	-27.10 	48.2	Rat	female	6	225	intratracheal instillation	0	1	7	0.458
ZnO	10.7	10.7	sphere	-	-27.10 	48.2	Rat	female	6	225	intratracheal instillation	0	1	28	0.458
ZnO	10.7	10.7	sphere	-	-27.10 	48.2	Rat	female	6	225	intratracheal instillation	0	1	1	1.378
ZnO	10.7	10.7	sphere	-	-27.10 	48.2	Rat	female	6	225	intratracheal instillation	0	1	7	1.378
ZnO	10.7	10.7	sphere	-	-27.10 	48.2	Rat	female	6	225	intratracheal instillation	0	1	28	1.378
ZnO	137	137	sphere	-	-25.90 	50	Rat	female	6	225	intratracheal instillation	0	1	1	1.378
NiO	15	15	sphere	-	-26.00 	91.8	Rat	female	6	225	intratracheal instillation	0	1	1	0.727
ZnO	10	10	sphere	-	-27.10 	48.2	Rat	female	6	225	intratracheal instillation	0	1	1	1.378
CuO	50	50	sphere	-	-26.70 	29	Rat	female	6	225	intratracheal instillation	0	1	1	2.289
NiO	15	15	sphere	-	-26.00 	91.8	Rat	female	6	225	intratracheal instillation	0	1	28	0.727
ZnO	10	10	sphere	-	-27.10 	48.2	Rat	female	6	225	intratracheal instillation	0	1	28	1.378
CuO	50	50	sphere	-	-26.70 	29	Rat	female	6	225	intratracheal instillation	0	1	28	2.289
CeO2	25	25	sphere	-	-32.40 	24.1	Rat	female	8	225	intratracheal instillation	0	1	1	0.924
CeO2	25	25	sphere	-	-32.40 	24.1	Rat	female	8	225	intratracheal instillation	0	1	1	2.778
TiO2	35	35	sphere	-	-28.50 	27.5	Rat	female	8	225	intratracheal instillation	0	1	1	0.809
TiO2	35	35	sphere	-	-28.50 	27.5	Rat	female	8	225	intratracheal instillation	0	1	1	2.422
CB	14	14	sphere	-	-25.00 	254	Rat	female	8	225	intratracheal instillation	0	1	1	0.088
CB	14	14	sphere	-	-25.00 	254	Rat	female	8	225	intratracheal instillation	0	1	1	0.262
SiO2	10	10	sphere	-	-12.90 	523.4	Rat	female	8	225	intratracheal instillation	0	1	1	0.037
SiO2	10	10	sphere	-	-12.90 	523.4	Rat	female	8	225	intratracheal instillation	0	1	1	0.111
NiO	15	15	sphere	-	-26.00 	91.8	Rat	female	8	225	intratracheal instillation	0	1	1	0.242
NiO	15	15	sphere	-	-26.00 	91.8	Rat	female	8	225	intratracheal instillation	0	1	1	0.727
ZnO	10	10	sphere	-	-27.10 	48.2	Rat	female	8	225	intratracheal instillation	0	1	1	0.458
ZnO	10	10	sphere	-	-27.10 	48.2	Rat	female	8	225	intratracheal instillation	0	1	1	1.378
CuO	50	50	sphere	-	-26.70 	29	Rat	female	8	225	intratracheal instillation	0	1	1	0.764
CuO	50	50	sphere	-	-26.70 	29	Rat	female	8	225	intratracheal instillation	0	1	1	2.289
polystyrene	36	36	sphere	-	40.30 	89	Rat	female	8	225	intratracheal instillation	0	1	1	0.139
polystyrene	36	36	sphere	-	40.30 	89	Rat	female	8	225	intratracheal instillation	0	1	1	0.418
CeO2	25	25	sphere	-	-32.40 	24.1	Rat	female	8	225	intratracheal instillation	0	1	28	0.924
CeO2	25	25	sphere	-	-32.40 	24.1	Rat	female	8	225	intratracheal instillation	0	1	28	2.778
NiO	15	15	sphere	-	-26.00 	91.8	Rat	female	8	225	intratracheal instillation	0	1	28	0.242
NiO	15	15	sphere	-	-26.00 	91.8	Rat	female	8	225	intratracheal instillation	0	1	28	0.727
ZnO	10	10	sphere	-	-27.10 	48.2	Rat	female	8	225	intratracheal instillation	0	1	28	0.458
ZnO	10	10	sphere	-	-27.10 	48.2	Rat	female	8	225	intratracheal instillation	0	1	28	1.378
CuO	50	50	sphere	-	-26.70 	29	Rat	female	8	225	intratracheal instillation	0	1	28	0.764
CuO	50	50	sphere	-	-26.70 	29	Rat	female	8	225	intratracheal instillation	0	1	28	2.289
ZnO	50	50	sphere	-	-16.90 	10.8	Rat	male	8	225	intratracheal instillation	0	1	0.25	36.36
ZnO	50	50	sphere	-	-16.90 	10.8	Rat	male	8	225	intratracheal instillation	0	1	1	36.36
ZnO	50	50	sphere	-	-16.90 	10.8	Rat	male	8	225	intratracheal instillation	0	1	2	36.36
ZnO	50	50	sphere	-	-16.90 	10.8	Rat	male	8	225	intratracheal instillation	0	1	3	36.36
MWCNT	255.2182	1209.28833	tube	-	-11.00 	152	Mouse	male	8	25	OPA	0	1	1	4
MWCNT	255.2182	1209.28833	tube	-	-11.00 	152	Mouse	male	8	25	OPA	0	1	28	4
MWCNT	220.66682	343.03588	tube	ZnO	-11.00 	152	Mouse	male	8	25	OPA	0	1	1	10
MWCNT	220.66682	343.03588	tube	ZnO	-11.00 	152	Mouse	male	8	25	OPA	0	1	28	10
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	8	25	OPA	0	1	7	0.2
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	8	25	OPA	0	1	7	0.8
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	8	25	OPA	0	1	1	1.6
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	8	25	OPA	0	1	3	1.6
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	8	25	OPA	0	1	7	1.6
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	8	25	OPA	0	1	14	1.6
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	1	0.42
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	1	0.83
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	1	1.67
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	7	0.42
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	7	0.83
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	7	1.67
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	28	0.42
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	28	0.83
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	28	1.67
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	56	0.42
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	56	0.83
MWCNT	49	3860	tube	-	-11.00 	152	Mouse	male	7	24	OPA	0	1	56	1.67
SWCNT	1.8	400	tube	-	-27.60 	878	Rat	male	7	279	intratracheal instillation	0	1	7	1
SWCNT	1.8	2770	tube	-	-27.60 	878	Rat	male	7	279	intratracheal instillation	0	1	7	1
SWCNT	1.8	400	tube	-	-27.60 	878	Rat	male	7	279	intratracheal instillation	0	1	28	1
SWCNT	1.8	2770	tube	-	-27.60 	878	Rat	male	7	279	intratracheal instillation	0	1	28	1
SWCNT	1.8	400	tube	-	-27.60 	878	Rat	male	7	279	intratracheal instillation	0	1	91	1
SWCNT	1.8	2770	tube	-	-27.60 	878	Rat	male	7	279	intratracheal instillation	0	1	91	1
SWCNT	1.8	400	tube	-	-27.60 	878	Rat	male	7	279	intratracheal instillation	0	1	182	1
SWCNT	1.8	2770	tube	-	-27.60 	878	Rat	male	7	279	intratracheal instillation	0	1	182	1
MWCNT	49	3900	tube	-	-11.00 	152	Mouse	male	10	27	OPA	0	1	7	1.48
MWCNT	49	3900	tube	-	-11.00 	152	Mouse	female	10	20	OPA	0	1	7	2
MWCNT	49	3900	tube	-	-11.00 	152	Mouse	female	10	20	OPA	0	1	28	2
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	1	0.18
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	3	0.18
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	7	0.18
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	30	0.18
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	90	0.18
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	1	1.8
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	3	1.8
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	7	1.8
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	30	1.8
SWCNT	23	510	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	90	1.8
SWCNT	95	1670	tube	-	-29.90 	1064	Rat	male	9	220	intratracheal instillation	0	1	1	0.18
SWCNT	95	1670	tube	-	-29.90 	1064	Rat	male	9	220	intratracheal instillation	0	1	3	0.18
SWCNT	95	1670	tube	-	-29.90 	1064	Rat	male	9	220	intratracheal instillation	0	1	7	0.18
SWCNT	95	1670	tube	-	-29.90 	1064	Rat	male	9	220	intratracheal instillation	0	1	30	0.18
SWCNT	95	1670	tube	-	-29.90 	1064	Rat	male	9	220	intratracheal instillation	0	1	90	0.18
SWCNT	95	1670	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	1	1.8
SWCNT	95	1670	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	3	1.8
SWCNT	95	1670	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	7	1.8
SWCNT	95	1670	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	30	1.8
SWCNT	95	1670	tube	-	-27.60 	1064	Rat	male	9	220	intratracheal instillation	0	1	90	1.8
SWCNT	1.9	500	tube	-	-27.60 	1040	Rat	male	9	220	intratracheal instillation	0	1	1	0.15
